"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"556","Agaie","Niger","345","9.0085","6.3173",NULL,NULL
"557","Bida","Niger","347","9.0797","6.0097",NULL,NULL
"558","Borgu","Niger","348","10.3232","4.1514",NULL,NULL
"559","Bosso","Niger","349","9.6522","6.5261",NULL,NULL
"560","Paikoro","Niger","350","9.4351","6.7922",NULL,NULL
"561","Chanchaga","Niger","351","9.6278","6.5463",NULL,NULL
"562","Kagara","Niger","351","10.1877","6.2549",NULL,NULL
"563","Rafi","Niger","352","10.113","6.1527",NULL,NULL
"564","Rijau","Niger","353","11.0991","5.2528",NULL,NULL
"565","Katcha","Niger","354","8.7602","6.3133",NULL,NULL
"566","Shiroro","Niger","355","9.9822","6.8093",NULL,NULL
"567","Edati","Niger","356","9.0362","5.6248",NULL,NULL
"568","Suleja","Niger","357","9.1701","7.1861",NULL,NULL
"569","Tafa","Niger","358","9.2448","7.2882",NULL,NULL
"570","Kontagora","Niger","359","10.4071","5.4699",NULL,NULL
"571","Lapai","Niger","360","9.0493","6.5797",NULL,NULL
"572","Wuya","Niger","361","9.1598","5.8349",NULL,NULL
"573","Lavun","Niger","361","9.1979","5.8136",NULL,NULL
"574","Magama ","Niger","362","10.3116","4.9767",NULL,NULL
"575","Mariga","Niger","363","10.1349","6.0229",NULL,NULL
"576","Mashegu","Niger","364","9.9492","5.3103",NULL,NULL
"577","Wushishi","Niger","365","9.7221","6.1113",NULL,NULL
"578","Gbako","Niger","366","9.2723","6.0256",NULL,NULL
"579","Mokwa","Niger","367","9.2928","5.0547",NULL,NULL
"580","Kobape","Ogun","368","6.998","3.4737",NULL,NULL
"581","Abeokuta North","Ogun","368","7.2114","3.1378",NULL,NULL
"582","Abeokuta North ","Ogun","368","7.2114","3.1378",NULL,NULL
"583","Isaga","Ogun","368","7.105","3.1692",NULL,NULL
"584","Iyana Mortuary","Ogun","369","7.1475","3.3618",NULL,NULL
"585","Abeokuta South","Ogun","369","7.1561","3.349",NULL,NULL
"586","Ota","Ogun","370","6.6927","3.2365",NULL,NULL
"587","Ado-Odo/Ota","Ogun","370","6.6117","3.0576",NULL,NULL
"588","Sango-ota","Ogun","370","6.6927","3.2365",NULL,NULL
"589","Iju","Ogun","370","6.6726","3.1353",NULL,NULL
"590","Shimawa","Ogun","370","6.7668","3.4855",NULL,NULL
"591","Agbara","Ogun","370","6.5114","3.1115",NULL,NULL
"592","Olaogun","Ogun","370","6.7135","3.2954",NULL,NULL
"593","Itele-ota","Ogun","370","6.6927","3.2365",NULL,NULL
"594","Ijoko","Ogun","370","6.7276","3.3087",NULL,NULL
"595","Sango","Ogun","370","6.6927","3.2365",NULL,NULL
"596","Obafemi-Owode","Ogun","371","6.9483","3.5079",NULL,NULL
"597","Fidiwo","Ogun","371","7.07","3.6817",NULL,NULL
"598","Mowe","Ogun","371","6.8085","3.4367",NULL,NULL
"599","Magboro","Ogun","371","6.7189","3.4019",NULL,NULL
"600","Ibafo","Ogun","371","6.7401","3.4221",NULL,NULL
"601","Warewa","Ogun","371","6.6891","3.4172",NULL,NULL
"602","Owode","Ogun","371","6.9483","3.5079",NULL,NULL
"603","Owode ","Ogun","371","6.9483","3.5079",NULL,NULL
"604","Odeda","Ogun","372","7.2328","3.5281",NULL,NULL
"605","Afon","Ogun","372","7.4305","2.9332",NULL,NULL
"606","Odogbolu","Ogun","373","6.8365","3.7689",NULL,NULL
"607","Ifo","Ogun","374","6.8192","3.193",NULL,NULL
"608","Agbado","Ogun","374","6.6876","3.3011",NULL,NULL
"609","Ajuwon","Ogun","374","6.6844","3.3691",NULL,NULL
"610","Osofem oil and gas company","Ogun","374","6.998","3.4737",NULL,NULL
"611","Ijebu East","Ogun","375","6.8159","4.3154",NULL,NULL
"612","Iwopin","Ogun","375","6.5137","4.1891",NULL,NULL
"613","Ilese Ijebu","Ogun","375","6.8136","3.9623",NULL,NULL
"614","Ijebu-Igbo","Ogun","376","6.9792","3.998",NULL,NULL
"615","Ago-Iwoye","Ogun","376","6.9424","3.9216",NULL,NULL
"616","Ijebu North","Ogun","376","7.0333","3.947",NULL,NULL
"617","Ogun Waterside","Ogun","377","6.5169","4.3565",NULL,NULL
"618","Ijebu North East","Ogun","378","6.8827","4.0083",NULL,NULL
"619","Ijebu-Ode","Ogun","379","6.83","3.9165",NULL,NULL
"620","Ijebu","Ogun","379","6.83","3.9165",NULL,NULL
"621","Ijebu Ode","Ogun","379","6.8403","3.924691233",NULL,NULL
"622","Ijebu-ode ","Ogun","379","6.83","3.9165",NULL,NULL
"623","Ikenne ","Ogun","380","6.865","3.7143",NULL,NULL
"624","Ikenne","Ogun","380","6.865","3.7143",NULL,NULL
"625","Imeko-Afon","Ogun","381","7.4477","2.838",NULL,NULL
"626","Igode","Ogun","381","6.703","3.58",NULL,NULL
"627","Ipokia","Ogun","382","6.5343","2.8415",NULL,NULL
"628","Isara Remo","Ogun","383","6.998","3.4737",NULL,NULL
"629","Remo North","Ogun","383","7.0137","3.7232",NULL,NULL
"630","Saapade","Ogun","383","6.9868","3.6706",NULL,NULL
"631","Shagamu","Ogun","384","6.8322","3.6319",NULL,NULL
"632","Sagamu","Ogun","384","6.8322","3.6319",NULL,NULL
"633","Ogijo","Ogun","384","6.6994","3.5155",NULL,NULL
"634","Egbado North","Ogun","385","7.1702","2.8577",NULL,NULL
"635"," Yewa North Local Government Area","Ogun","385","7.1702","2.8577",NULL,NULL
"636","Yewa-North","Ogun","385","7.1702","2.8577",NULL,NULL
"637","Ilara","Ogun","385","7.4167","2.75",NULL,NULL
"638","Egbado South","Ogun","386","6.7832","2.9776",NULL,NULL
